TransactionDate	ProductCode	WarehouseCode	SalespersonCode	BillingCustomer	PONumber	LotNumber	AlternateUM	Quantity_Alt	Quantity_Prc	PricingUM	UnitCost	UnitPrice	Weight	TotalCost	TotalSales	TransactionType	TransactionTypeDesc	AssemblerCode
06/27/2011	   164-1-08	8	0	0		0000190833	BX	-1	-1	BX 	91.65	0	0	-91.65	0	90	Physical Inventory Adjustment	0
06/27/2011	   500-1-01	1	4	67				0	0		35.17	0	0	35.17	0	1	Charge/Cash Sale Customer Expense	23
06/27/2011	   500-1-01	1	4	67				0	0		4.83	0	0	4.83	0	1	Charge/Cash Sale Customer Expense	23
06/27/2011	   500-1-01	1	29	71				0	0		0.35	0	0	0.35	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		4.09	0	0	4.09	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		5.21	0	0	5.21	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		0.64	0	0	0.64	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		3.7	0	0	3.7	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		1.62	0	0	1.62	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		3.46	0	0	3.46	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		9.33	0	0	9.33	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		2.72	0	0	2.72	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		2.11	0	0	2.11	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		3.28	0	0	3.28	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		2.34	0	0	2.34	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	29	71				0	0		1.15	0	0	1.15	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	9	98				0	0		115.12	0	0	115.12	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	9	98				0	0		46.98	0	0	46.98	0	1	Charge/Cash Sale Customer Expense	17
06/27/2011	   500-1-01	1	9	98				0	0		13.18	0	0	13.18	0	1	Charge/Cash Sale Customer Expense	17
